marka,seri,model,yil,yakit tipi,vites tipi,motor hacmi,motor gucu,kilometre,boya-degisen,takasa uygun,kimden,fiyat
nissan,micra,1.5 dci visia,2011,dizel,duz,,,164.000 km,tamami orjinal,takasa uygun degil,sahibinden,180.000 TL
nissan,micra,1.2 street,2015,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,38.413 km,belirtilmemis,takasa uygun degil,yetkili bayiden,169.000 TL
nissan,micra,1.2 match,2015,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,40.000 km,belirtilmemis,takasa uygun,galeriden,182.500 TL
nissan,micra,1.3 gx,1997,benzin,yari otomatik,1201 - 1400 cm3,51 - 75 hp,216.000 km,belirtilmemis,takasa uygun,galeriden,57.900 TL
nissan,micra,1.2 tekna,2004,benzin,otomatik,1240 cc,80 hp,136.000 km,belirtilmemis,takasa uygun degil,galeriden,117.900 TL
nissan,micra,1.2 match,2017,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,61.000 km,belirtilmemis,takasa uygun,galeriden,202.000 TL
nissan,micra,1.2 match,2018,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,33.000 km,belirtilmemis,takasa uygun,galeriden,202.000 TL
nissan,primera,2.0 se,1999,lpg & benzin,duz,1801 - 2000 cm3,126 - 150 hp,320.000 km,belirtilmemis,takasa uygun,galeriden,57.750 TL
nissan,primera,1.6 comfort,2001,lpg & benzin,duz,1597 cc,100 hp,258.000 km,4 boyali,takasa uygun,sahibinden,62.500 TL
nissan,almera,1.5 tekna,2004,lpg & benzin,duz,1498 cc,98 hp,183.000 km,belirtilmemis,takasa uygun,sahibinden,78.500 TL
nissan,micra,1.2 punch,2012,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,54.170 km,belirtilmemis,takasa uygun,galeriden,157.500 TL
nissan,primera,1.6 comfort,2001,lpg & benzin,duz,1597 cc,106 hp,160.000 km,"3 degisen, 4 boyali",takasa uygun degil,sahibinden,74.000 TL
nissan,primera,1.6 gx,1998,lpg & benzin,duz,1597 cc,100 hp,250.000 km,1 degisen,takasa uygun,galeriden,65.500 TL
nissan,micra,1.2 street,2017,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,88.056 km,belirtilmemis,takasa uygun,yetkili bayiden,179.900 TL
nissan,primera,1.6 gx,1998,lpg & benzin,duz,1597 cc,100 hp,450.000 km,"1 degisen, 10 boyali",takasa uygun,galeriden,49.500 TL
nissan,micra,1.0 ig-t platinum,2019,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,28.826 km,belirtilmemis,takasa uygun,yetkili bayiden,249.900 TL
nissan,pulsar,1.2 tekna,2016,benzin,yari otomatik,1200 cm3' e kadar,101 - 125 hp,118.000 km,belirtilmemis,takasa uygun,galeriden,157.500 TL
nissan,sunny,1.6 slx,1991,lpg & benzin,duz,1401 - 1600 cm3,76 - 100 hp,389.000 km,belirtilmemis,takasa uygun degil,galeriden,48.000 TL
nissan,primera,1.6 slx,1998,lpg & benzin,duz,1597 cc,100 hp,296.000 km,"4 degisen, 3 boyali",takasa uygun degil,sahibinden,49.000 TL
nissan,primera,1.6 visia,2006,lpg & benzin,duz,1596 cc,109 hp,180.256 km,1 boyali,takasa uygun degil,sahibinden,95.500 TL
nissan,almera,1.5 comfort,2002,lpg & benzin,duz,1497 cc,90 hp,135.000 km,belirtilmemis,takasa uygun degil,sahibinden,83.000 TL
nissan,almera,1.5 tekna,2006,lpg & benzin,duz,1498 cc,98 hp,217.000 km,belirtilmemis,takasa uygun,sahibinden,78.500 TL
nissan,primera,2.0 se,1998,lpg & benzin,duz,1998 cc,130 hp,298.000 km,"2 degisen, 5 boyali",takasa uygun degil,sahibinden,52.000 TL
nissan,micra,1.2 tekna,2004,benzin,otomatik,1240 cc,80 hp,179.000 km,"1 degisen, 3 boyali",takasa uygun,galeriden,95.000 TL
nissan,almera,1.5 luxury,2003,lpg & benzin,duz,1497 cc,90 hp,219.000 km,belirtilmemis,takasa uygun,galeriden,71.900 TL
nissan,primera,1.6 comfort,2000,lpg & benzin,duz,1401 - 1600 cm3,76 - 100 hp,284.000 km,belirtilmemis,takasa uygun,galeriden,71.750 TL
nissan,micra,1.2 match,2017,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,20.000 km,belirtilmemis,takasa uygun,galeriden,217.500 TL
nissan,sunny,1.6 ex,1994,lpg & benzin,duz,,,400.000 km,belirtilmemis,takasa uygun degil,sahibinden,39.000 TL
nissan,maxima,2.0 qx,1996,lpg & benzin,otomatik,1801 - 2000 cm3,126 - 150 hp,435.000 km,belirtilmemis,takasa uygun,sahibinden,77.000 TL
nissan,micra,1.2 street,2017,benzin,otomatik,1198 cc,80 hp,115.830 km,2 boyali,takasa uygun degil,galeriden,172.000 TL
nissan,almera,1.5 tekna,2004,lpg & benzin,duz,1498 cc,98 hp,366.000 km,belirtilmemis,takasa uygun degil,galeriden,77.000 TL
nissan,micra,1.2 match,2016,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,76.000 km,1 boyali,takasa uygun,yetkili bayiden,193.500 TL
nissan,primera,1.6 comfort,2000,lpg & benzin,duz,1401 - 1600 cm3,76 - 100 hp,294.000 km,belirtilmemis,takasa uygun,galeriden,74.000 TL
nissan,note,1.4 tekna,2010,lpg & benzin,duz,1386 cc,88 hp,187.000 km,3 boyali,takasa uygun,sahibinden,112.000 TL
nissan,micra,1.2 passion,2007,benzin,duz,1240 cc,80 hp,69.000 km,belirtilmemis,takasa uygun,galeriden,100.000 TL
nissan,micra,1.2 passion,2006,benzin,otomatik,1240 cc,80 hp,145.000 km,belirtilmemis,takasa uygun degil,galeriden,115.900 TL
nissan,micra,1.2 tekna,2005,benzin,otomatik,1201 - 1400 cm3,76 - 100 hp,134.000 km,belirtilmemis,takasa uygun degil,galeriden,117.900 TL
nissan,note,1.6 tekna,2007,lpg & benzin,otomatik,1598 cc,110 hp,130.000 km,belirtilmemis,takasa uygun,galeriden,132.000 TL
nissan,micra,1.2 passion,2012,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,32.393 km,belirtilmemis,takasa uygun,galeriden,156.750 TL
nissan,micra,1.2 tekna,2011,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,53.373 km,belirtilmemis,takasa uygun,galeriden,150.500 TL
nissan,micra,1.2 street,2015,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,22.500 km,2 boyali,takasa uygun,galeriden,174.000 TL
nissan,pulsar,1.2 visia,2016,benzin,yari otomatik,1200 cm3' e kadar,101 - 125 hp,54.000 km,belirtilmemis,takasa uygun,galeriden,198.000 TL
nissan,micra,1.2 street,2016,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,91.000 km,belirtilmemis,takasa uygun,galeriden,174.000 TL
