marka,seri,model,yil,yakit tipi,vites tipi,motor hacmi,motor gucu,kilometre,boya-degisen,takasa uygun,kimden,fiyat,url
nissan,micra,1.2 tekna,2011,benzin,otomatik,1198 cc,80 hp,72.000 km,"3 degisen, 2 boyali",takasa uygun degil,sahibinden,144.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-micra-1-2-tekna/sahibinden-nissan-micra-1-2-tekna-2011-model/15260405
nissan,note,1.5 dci visia,2009,dizel,duz,1461 cc,86 hp,266.000 km,belirtilmemis,takasa uygun degil,sahibinden,230.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-note-1-5-dci-visia/sahibinden-nissan-note-1-5-dci-visia-2009-model/18606239
nissan,note,1.5 dci tekna,2013,dizel,duz,1461 cc,90 hp,138.000 km,"1 degisen, 3 boyali",takasa uygun,sahibinden,139.500 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-note-1-5-dci-tekna/sahibinden-nissan-note-1-5-dci-tekna-2013-model/18606075
nissan,350 z,roadster,2017,benzin,otomatik,3001 - 3500 cm3,326 - 350 hp,0 km,belirtilmemis,takasa uygun,galeriden,1.640.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-350-z-roadster/lotus-cars-turkiye-den-exige-sport-350/17349915
nissan,micra,1.2 passion,2009,benzin,otomatik,1201 - 1400 cm3,76 - 100 hp,112.000 km,"3 degisen, 2 boyali",takasa uygun,galeriden,122.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-passion/2009-model-tam-otomatik-vites-micra/18508710
nissan,micra,1.2 match,2015,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,39.800 km,belirtilmemis,takasa uygun,galeriden,174.900 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-match/yetkili-bayiden-40bin-12ay-0-faiz-kredili-otomatik-2015-micra/18605671
nissan,micra,1.3 lx,1996,lpg & benzin,duz,1275 cc,75 hp,210.000 km,belirtilmemis,takasa uygun degil,galeriden,48.500 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-3-lx/temiz-sorunsuz/18605580
nissan,pulsar,1.5 tekna,2016,dizel,duz,1461 cc,110 hp,83.000 km,"2 degisen, 2 boyali",takasa uygun degil,sahibinden,154.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-pulsar-1-5-tekna/sahibinden-nissan-pulsar-1-5-tekna-2016-model/18604914
nissan,almera,2.0 d gx,2001,dizel,duz,,,55.000 km,3 boyali,takasa uygun degil,sahibinden,80.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-almera-2-0-d-gx/sahibinden-nissan-almera-2-2-dzl-2001-model-istanbul/18603628
nissan,primera,1.6,2001,lpg & benzin,duz,,,350.000 km,1 degisen,takasa uygun degil,sahibinden,70.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-primera-1-6/sahibinden-nissan-primera-1-6-2001-model/18602848
nissan,primera,1.6 gx,1999,benzin,duz,1597 cc,100 hp,260.000 km,belirtilmemis,takasa uygun degil,sahibinden,65.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-primera-1-6-gx/sahibinden-nissan-primera-1-6-gx-1999-model/18603989
nissan,primera,1.6 tekna,2004,lpg & benzin,duz,1596 cc,109 hp,167.000 km,5 boyali,takasa uygun degil,sahibinden,92.500 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-primera-1-6-tekna/sahibinden-nissan-primera-1-6-tekna-2004-model/18180231
nissan,primera,1.6 comfort,2001,lpg & benzin,duz,1401 - 1600 cm3,76 - 100 hp,260.000 km,belirtilmemis,takasa uygun,galeriden,81.500 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-primera-1-6-comfort/2001-model-kazasiz-degisensiz-nissan-comfort/17792714
nissan,micra,1.0 ig-t tekna,2021,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,0 km,belirtilmemis,takasa uygun,galeriden,304.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-0-ig-t-tekna/by-beyoglu-automotive-2021-otomatik-tam-faturali-18-ozel-tavan/18604749
nissan,micra,1.2 match,2018,benzin,otomatik,1198 cc,80 hp,40.000 km,belirtilmemis,takasa uygun,sahibinden,195.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-micra-1-2-match/sahibinden-nissan-micra-1-2-match-2018-model/17120310
nissan,micra,1.2 match,2018,benzin,otomatik,1198 cc,80 hp,29.500 km,tamami orjinal,takasa uygun degil,sahibinden,200.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-micra-1-2-match/kasim-2018-cikisli-match-paket-otomatik-vites-tramersiz-nissan-micra/17598501
nissan,maxima,2.0 qx,2004,lpg & benzin,otomatik,1995 cc,140 hp,255.000 km,belirtilmemis,takasa uygun,galeriden,106.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-maxima-2-0-qx/2004-nissan-maxima-qx-2-0-otomatik/17784648
nissan,micra,1.2 visia,2021,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,0 km,belirtilmemis,takasa uygun,galeriden,255.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-visia/mm-motors-2021-nissan-micra-1-0-visia-otomatik-0-km/18182090
nissan,primera,1.6 comfort,2001,benzin,duz,1597 cc,100 hp,350.000 km,1 degisen,takasa uygun degil,sahibinden,70.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-primera-1-6-comfort/sahibinden-nissan-primera-1-6-comfort-2001-model/18599513
nissan,primera,1.6 tekna plus,2004,lpg & benzin,duz,1596 cc,109 hp,212.000 km,belirtilmemis,takasa uygun degil,galeriden,88.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-primera-1-6-tekna-plus/primera-fulll-arti-full-sunruflu/18600168
nissan,micra,1.2 passion,2012,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,117.000 km,belirtilmemis,takasa uygun,galeriden,124.750 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-passion/2012-model-1-2-tam-otomatik-micra/18599987
nissan,micra,1.2 match,2014,benzin,otomatik,1198 cc,80 hp,16.000 km,belirtilmemis,takasa uygun degil,galeriden,177.500 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-match/hatasiz-boyasiz-micra-match-tam-otomatik-2015-trafige-cikisli-orjinal-16000-km-de/18558351
nissan,note,1.5 dci tekna,2012,dizel,duz,,,220.800 km,belirtilmemis,takasa uygun degil,sahibinden,165.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-note-1-5-dci-tekna/sahibinden-nissan-note-1-5-dci-tekna-2012-model/18599568
nissan,micra,1.2 tekna,2010,benzin,otomatik,1240 cc,80 hp,65.000 km,belirtilmemis,takasa uygun degil,galeriden,121.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-tekna/gold-auto-a-s-stoklarimiz-da-98-adet-otomatik-nissan-micra-mevcuttur/14277449
nissan,micra,1.2 street,2017,benzin,otomatik,1198 cc,80 hp,55.500 km,belirtilmemis,takasa uygun degil,sahibinden,185.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-micra-1-2-street/bayandan-degisensiz-servis-bakimli-otomatik/18594345
nissan,micra,1.2 passion,2013,benzin,otomatik,1198 cc,80 hp,115.000 km,belirtilmemis,takasa uygun,galeriden,159.750 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-passion/2013-nissan-micra-senetle-taksitlendirme-secenegimiz-vardir/18597698
nissan,micra,1.2 match,2018,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,80.000 km,3 boyali,takasa uygun,galeriden,177.900 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-match/turkuaz-dan-nissan-micra-1-2-match-tramersiz/18596813
nissan,micra,1.3 gx,1998,benzin,duz,1275 cc,75 hp,233.000 km,tamami boyali,takasa uygun degil,sahibinden,42.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-micra-1-3-gx/sahibinden-nissan-micra-1-3-gx-1998-model/16076060
nissan,pulsar,1.5 tekna,2016,dizel,duz,1461 cc,110 hp,51.000 km,2 boyali,takasa uygun,galeriden,155.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-pulsar-1-5-tekna/ozdere-den-2016-nissan-pulsar-1-5-dizel-tekna-51-000-km-de/18302517
nissan,micra,1.2 passion,2010,benzin,otomatik,1240 cc,80 hp,75.000 km,1 degisen,takasa uygun degil,sahibinden,131.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-micra-1-2-passion/sahibinden-nissan-micra-1-2-passion-2010-model/18593790
nissan,micra,1.2 street,2016,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,45.000 km,3 boyali,takasa uygun,yetkili bayiden,179.500 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-street/nissan-kuzeyden-2016-micra-1-2-cvt-street-45-000kmde/18593855
nissan,almera,1.5 visia,2006,lpg & benzin,duz,1498 cc,98 hp,220.000 km,belirtilmemis,takasa uygun degil,sahibinden,74.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-almera-1-5-visia/sahibinden-nissan-almera-1-5-visia-2006-model/18593083
nissan,primera,2.0 se,1998,lpg & benzin,duz,1998 cc,130 hp,310.000 km,3 boyali,takasa uygun degil,sahibinden,65.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-primera-2-0-se/sahibinden-nissan-primera-2-0-se-1998-model/18593268
nissan,sunny,1.6 slx,1995,lpg & benzin,duz,1401 - 1600 cm3,76 - 100 hp,370.000 km,belirtilmemis,takasa uygun degil,sahibinden,45.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-sunny-1-6-slx/sahibinden-nissan-sunny-1-6-slx-1995-model/18592792
nissan,micra,1.2 passion,2006,benzin,otomatik,1240 cc,80 hp,151.000 km,belirtilmemis,takasa uygun degil,galeriden,115.900 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-passion/otomix-2006-nissan-micra-1-2-tam-otomatik-ozel-alev-kirmizi/17284635
nissan,micra,1.2 passion,2008,benzin,otomatik,1201 - 1400 cm3,76 - 100 hp,97.000 km,belirtilmemis,takasa uygun degil,galeriden,129.900 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-passion/otomix-2008-nissan-micra-1-2-tam-otomatik-97000-km-emsalsiz/18592153
nissan,note,1.5 dci visia,2009,dizel,duz,1401 - 1600 cm3,76 - 100 hp,206.995 km,belirtilmemis,takasa uygun,galeriden,107.900 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-note-1-5-dci-visia/2009-model-nissan-note1-5-dci-visadegisen-yokici-bejtertemiz/18574698
nissan,micra,1.2 tekna,2004,benzin,duz,1240 cc,80 hp,208.000 km,2 boyali,takasa uygun,sahibinden,85.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-micra-1-2-tekna/nissan-micra-1-2-tekna-2004-model-manuel-benzinli/18169956
nissan,almera,1.5 tekna,2006,lpg & benzin,duz,1498 cc,98 hp,150.000 km,11 boyali,takasa uygun degil,sahibinden,95.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-almera-1-5-tekna/sahibinden-nissan-almera-1-5-tekna-2006-model/18591073
nissan,almera,1.5 tekna,2006,lpg & benzin,duz,1498 cc,98 hp,218.000 km,belirtilmemis,takasa uygun degil,sahibinden,81.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-almera-1-5-tekna/sahibinden-nissan-almera-1-5-tekna-2006-model/18589381
nissan,note,1.6 tekna,2007,benzin,duz,1598 cc,110 hp,203.000 km,belirtilmemis,takasa uygun degil,sahibinden,75.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-note-1-6-tekna/sahibinden-nissan-note-1-6-tekna-2007-model/18588357
nissan,almera,1.5 tekna,2005,lpg & benzin,duz,1498 cc,98 hp,219.000 km,4 degisen,takasa uygun degil,sahibinden,65.500 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-almera-1-5-tekna/sahibinden-nissan-almera-1-5-tekna-2005-model-kocaeli/18588809
nissan,micra,1.2 passion,2013,benzin,duz,1198 cc,80 hp,91.000 km,1 degisen,takasa uygun,galeriden,117.750 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-passion/ozsaglam-dan-2013-model-nissan-micra-1-2-passion-91binde-beyaz/18589971
nissan,micra,1.2 match,2018,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,79.136 km,3 boyali,takasa uygun,galeriden,177.900 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-match/2018-micra-1-2-match-ot-vites-80-hp-6-ileri-ful-orjinal/18589612
nissan,micra,1.2 tekna,2005,benzin,otomatik,1240 cc,80 hp,100.000 km,belirtilmemis,takasa uygun degil,galeriden,120.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-tekna/gold-auto-a-s-stoklarimizda-98-adet-otomatik-micralar-mevcuttur/13580863
nissan,micra,1.2 street,2017,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,47.000 km,belirtilmemis,takasa uygun,galeriden,159.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-street/2017-model-nissan-micra-1-2-street-otomatik-km-47-000-de/18587703
nissan,micra,1.2 match,2017,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,113.750 km,3 boyali,takasa uygun,galeriden,182.500 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-match/kutay-fethiye-den-2017-micra-1-2-match-otomatik/18587611
nissan,primera,1.8 luxury,2000,lpg & benzin,duz,1769 cc,114 hp,430.000 km,belirtilmemis,takasa uygun degil,sahibinden,67.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-primera-1-8-luxury/sahibinden-nissan-primera-1-8-luxury-2000-model/18584944
nissan,almera,1.5 tekna,2005,benzin,duz,1498 cc,98 hp,223.500 km,"2 degisen, 5 boyali",takasa uygun degil,sahibinden,75.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-almera-1-5-tekna/sahibinden-nissan-almera-1-5-tekna-2005-model/18584637
nissan,micra,1.5 dci passion,2006,dizel,duz,1461 cc,82 hp,198.000 km,belirtilmemis,takasa uygun degil,sahibinden,93.500 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-micra-1-5-dci-passion/1-5-dci-passion-micra-orj-km-super-bakimli-ihtiyactan-degisensiz-acill-bir-haftaligina/18584805
nissan,almera,1.5 comfort,2001,lpg & benzin,duz,1497 cc,90 hp,310.000 km,"1 degisen, 2 boyali",takasa uygun degil,sahibinden,63.550 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-almera-1-5-comfort/sahibinden-nissan-almera-1-5-comfort-2001-model/18585003
nissan,primera,1.6 tekna,2004,lpg & benzin,duz,1596 cc,109 hp,288.000 km,"2 degisen, 3 boyali",takasa uygun degil,sahibinden,82.500 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-primera-1-6-tekna/sahibinden-nissan-primera-1-6-tekna-2004-model/18140645
nissan,almera,1.5 comfort,2000,lpg & benzin,duz,1497 cc,90 hp,290.000 km,"2 degisen, 10 boyali",takasa uygun degil,sahibinden,65.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-almera-1-5-comfort/sahibinden-nissan-almera-1-5-comfort-2000-model-ankara/18580679
nissan,micra,1.2 passion,2012,benzin,otomatik,1198 cc,80 hp,95.000 km,tamami orjinal,takasa uygun degil,sahibinden,160.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-micra-1-2-passion/sahibinden-nissan-micra-1-2-passion-cvt-otomatik/18583762
nissan,micra,1.2 street,2017,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,28.800 km,belirtilmemis,takasa uygun,galeriden,172.750 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-street/adasen-den-nissan-micra-street-otomatik/18583687
nissan,primera,1.6 gx,1998,lpg & benzin,duz,1597 cc,100 hp,325.000 km,belirtilmemis,takasa uygun degil,galeriden,63.500 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-primera-1-6-gx/galeriden-nissan-primera-1-6-gx-1998-model-mersin/18582107
nissan,micra,1.2 passion,2009,lpg & benzin,otomatik,1201 - 1400 cm3,76 - 100 hp,163.000 km,belirtilmemis,takasa uygun,galeriden,127.900 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-passion/0-gibi-2-el-kadirbey-den-78-900tl-pesinatla-nissan-micra-otm/18581916
nissan,micra,1.2 passion,2010,benzin,otomatik,1201 - 1400 cm3,76 - 100 hp,166.000 km,belirtilmemis,takasa uygun,galeriden,128.900 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-passion/0-gibi-2-el-kadirbey-den-68-900tl-pesinat-la-nissan-micra-otm/18581914
nissan,almera,1.8 luxury,2000,lpg & benzin,otomatik,1769 cc,114 hp,315.000 km,5 boyali,takasa uygun,sahibinden,75.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-almera-1-8-luxury/sahibinden-nissan-almera-1-8-luxury-2000-model/18580494
nissan,primera,1.6 tekna,2005,lpg & benzin,duz,1596 cc,109 hp,158.000 km,belirtilmemis,takasa uygun degil,galeriden,85.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-primera-1-6-tekna/varlidan-nissan-primera-1-6-tekna-2005-model-istanbul/18501952
nissan,micra,1.3 gx,1998,benzin,otomatik,1201 - 1400 cm3,51 - 75 hp,168.000 km,belirtilmemis,takasa uygun,galeriden,66.750 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-3-gx/mega-otomotiv-1998-nissan-micra-1-3-gx-otomatik-vites-boyasiz/18579803
nissan,almera,1.5 tekna,2005,lpg & benzin,duz,1498 cc,98 hp,191.000 km,tamami orjinal,takasa uygun degil,sahibinden,92.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-almera-1-5-tekna/sahibinden-nissan-almera-1-5-tekna-2005-model/18578529
nissan,almera,1.5 tekna,2007,lpg & benzin,duz,1498 cc,98 hp,111.000 km,4 boyali,takasa uygun degil,sahibinden,98.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-almera-1-5-tekna/sahibinden-nissan-almera-1-5-tekna-2007-model-izmir/18578001
nissan,micra,1.2 tekna,2011,benzin,otomatik,1198 cc,80 hp,122.000 km,"1 degisen, 7 boyali",takasa uygun degil,sahibinden,126.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-micra-1-2-tekna/sahibinden-nissan-micra-1-2-tekna-2011-model/18578516
nissan,micra,1.2 match,2015,benzin,otomatik,1198 cc,80 hp,20.000 km,belirtilmemis,takasa uygun degil,sahibinden,200.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-micra-1-2-match/ilk-sahibinden-nissan-micra-1-2-match-2015-model/18576614
nissan,micra,1.2 tekna,2009,benzin,otomatik,1240 cc,80 hp,69.000 km,belirtilmemis,takasa uygun degil,galeriden,116.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-tekna/gold-auto-a-s-stoklarimizda-98-adet-otomatik-nissan-micra-mevcuttur/13638879
nissan,micra,1.2 street,2017,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,25.000 km,belirtilmemis,takasa uygun,galeriden,189.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-street/otomobilcim-den-2017-boyasiz-sadece-25000-km-de-otomatik-micra/18577605
nissan,primera,2.0 se,1998,lpg & benzin,duz,1998 cc,130 hp,370.000 km,1 boyali,takasa uygun,galeriden,60.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-primera-2-0-se/cetin-otomotivden-hatasiz-nissan-primera-2-0-se-1998-model-gaziantep/17039732
nissan,note,1.5 dci tekna,2014,dizel,duz,1461 cc,90 hp,129.000 km,belirtilmemis,takasa uygun,sahibinden,145.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-note-1-5-dci-tekna/sahibinden-nissan-note-1-5-dci-tekna-2014-model-izmir/18573213
nissan,sunny,1.6 ex,1995,lpg & benzin,otomatik,1401 - 1600 cm3,101 - 125 hp,358.800 km,tamami boyali,takasa uygun,sahibinden,45.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-sunny-1-6-ex/memurdan-nissan-sunny-1-6-ex-1995-model/12186951
nissan,primera,1.6 tekna plus,2006,lpg & benzin,duz,,,303.000 km,belirtilmemis,takasa uygun,sahibinden,79.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-primera-1-6-tekna-plus/sahibinden-nissan-primera-1-6-tekna-plus-2006-model/18147234
nissan,primera,1.6 tekna,2007,lpg & benzin,duz,1596 cc,109 hp,317.000 km,belirtilmemis,takasa uygun degil,sahibinden,79.900 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-primera-1-6-tekna/sahibinden-nissan-primera-1-6-tekna-2007-model/18572779
nissan,micra,1.2 street,2015,benzin,otomatik,1198 cc,80 hp,49.000 km,belirtilmemis,takasa uygun,galeriden,157.900 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-street/hk-car-dan-2015-street-bordo-49-000-km-de-yetkili-servis-bakimli/18572084
nissan,micra,1.2 street,2014,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,72.000 km,belirtilmemis,takasa uygun,galeriden,136.900 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-street/sahcars-dan-2014-yeni-kasa-otomatik-nissan-micra/18571707
nissan,almera,1.6 gx,2001,lpg & benzin,otomatik,,,138.500 km,belirtilmemis,takasa uygun degil,sahibinden,89.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-almera-1-6-gx/sahibinden-nissan-almera-1-6-gx-2001-model/18145653
nissan,almera,1.5 luxury,2001,benzin,duz,1497 cc,90 hp,206.000 km,"1 degisen, 2 boyali",takasa uygun degil,sahibinden,73.900 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-almera-1-5-luxury/sahibinden-nissan-almera-1-5-luxury-2001-model/18570709
nissan,micra,1.2 tekna,2009,benzin,otomatik,1240 cc,80 hp,100.000 km,belirtilmemis,takasa uygun degil,galeriden,119.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-tekna/gold-auto-a-s-stoklarimiz-da-98-adet-otomatik-micralar-mevcut/13902950
nissan,micra,1.2 passion,2006,lpg & benzin,duz,1240 cc,80 hp,177.000 km,belirtilmemis,takasa uygun,galeriden,89.900 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-passion/zfr-motors-nissan-micra-1-2-passion-benzin-lpg/18571332
nissan,micra,1.2 punch,2012,benzin,duz,1198 cc,80 hp,124.700 km,belirtilmemis,takasa uygun,galeriden,117.900 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-punch/2012-model-orjinal-124-700-km-de-koltuk-isitma-full-micra-punch/18570755
nissan,primera,1.6 gx,1998,lpg & benzin,duz,1401 - 1600 cm3,76 - 100 hp,268.000 km,belirtilmemis,takasa uygun,galeriden,67.750 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-primera-1-6-gx/1998-model-nissan-primera-1-6-16v-degisensiz-masrafsiz-klima-li/18568418
nissan,primera,1.6 tekna,2004,lpg & benzin,duz,1596 cc,109 hp,251.000 km,"2 degisen, 4 boyali",takasa uygun degil,sahibinden,69.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-primera-1-6-tekna/sahibinden-nissan-primera-1-6-tekna-2004-model/18567730
nissan,primera,1.6 tekna,2005,lpg & benzin,duz,1596 cc,109 hp,238.900 km,"2 degisen, 4 boyali",takasa uygun,galeriden,80.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-primera-1-6-tekna/galeriden-nissan-primera-1-6-tekna-2005-model-konya/18567483
nissan,note,1.4 visia,2009,benzin,duz,1201 - 1400 cm3,76 - 100 hp,224.000 km,belirtilmemis,takasa uygun,galeriden,82.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-note-1-4-visia/2009-nissan-note-1-4-visia-ilkelden-takasa-uygun/18282123
nissan,primera,1.6 slx,1997,lpg & benzin,duz,1597 cc,100 hp,330.000 km,belirtilmemis,takasa uygun,galeriden,57.500 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-primera-1-6-slx/1997-1-6-16-valf-pert-kayitsiz-tavan-boyasiz/18565516
nissan,almera,1.5 tekna,2006,lpg & benzin,duz,1498 cc,98 hp,268.000 km,3 boyali,takasa uygun degil,sahibinden,80.500 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-almera-1-5-tekna/sahibinden-nissan-almera-1-5-tekna-2006-model/18561462
nissan,note,1.5 dci tekna,2011,dizel,duz,1461 cc,103 hp,192.000 km,"1 degisen, 2 boyali",takasa uygun degil,sahibinden,117.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-note-1-5-dci-tekna/sahibinden-nissan-note-1-5-dci-tekna-2011-model/18562634
nissan,primera,1.6 slx,1998,lpg & benzin,duz,1597 cc,100 hp,405.000 km,tamami boyali,takasa uygun,galeriden,52.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-primera-1-6-slx/tam-bir-konforlu-aile-araci/18564863
