marka,seri,model,yil,yakit tipi,vites tipi,motor hacmi,motor gucu,kilometre,boya-degisen,takasa uygun,kimden,fiyat,url
nissan,almera,1.5 tekna,2007,lpg & benzin,duz,1498 cc,98 hp,130.000 km,"2 degisen, 7 boyali",takasa uygun degil,sahibinden,85.500 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-almera-1-5-tekna/sahibinden-nissan-almera-1-5-tekna-2007-model/18628650
nissan,maxima,2.0 qx,1999,lpg & benzin,duz,1995 cc,140 hp,307.000 km,7 boyali,takasa uygun,sahibinden,66.500 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-maxima-2-0-qx/sahibinden-nissan-maxima-2-0-qx-1999-model/18628239
nissan,primera,1.6 tekna plus,2004,lpg & benzin,duz,1596 cc,109 hp,220.000 km,"1 degisen, 8 boyali",takasa uygun,sahibinden,79.500 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-primera-1-6-tekna-plus/sahibinden-nissan-primera-1-6-tekna-plus-2004-model/18628535
nissan,micra,1.2 tekna,2005,benzin,duz,1240 cc,80 hp,195.000 km,belirtilmemis,takasa uygun,galeriden,79.500 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-tekna/nissan-micra-1-2-tekna-paket-orjinal-195-binde-degisensiz/18609168
nissan,primera,2.0 se,1998,lpg & benzin,duz,1998 cc,130 hp,240.000 km,11 boyali,takasa uygun,sahibinden,52.500 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-primera-2-0-se/sahibinden-nissan-primera-2-0-se-1998-model-gaziantep/16946062
nissan,sunny,1.6 ex,1991,lpg & benzin,duz,1597 cc,90 hp,300 km,11 boyali,takasa uygun degil,sahibinden,43.500 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-sunny-1-6-ex/sahibinden-nissan-sunny-1-6-ex-1991-model-izmir/18628559
nissan,primera,1.6 slx,1997,benzin,duz,1597 cc,102 hp,223.000 km,belirtilmemis,takasa uygun degil,sahibinden,70.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-primera-1-6-slx/sahibinden-nissan-primera-1-6-slx-1997-model/18628543
nissan,primera,1.6 gx,1997,lpg & benzin,duz,1597 cc,100 hp,240.000 km,belirtilmemis,takasa uygun,sahibinden,63.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-primera-1-6-gx/nissan-primera-1-6-16-v/17772754
nissan,micra,1.0 ig-t tekna,2021,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,7 km,belirtilmemis,takasa uygun,galeriden,294.900 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-0-ig-t-tekna/sifir-km-2021-nissan-1-0-ig-t-micra-tekna-hemen-teslim/18630748
nissan,micra,1.2 tekna,2006,benzin,otomatik,1240 cc,80 hp,95.000 km,belirtilmemis,takasa uygun,galeriden,119.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-tekna/gold-auto-a-s-stoklarimiz-da-98-adet-otomatik-nissan-micra-mevcuttur/14236800
nissan,note,1.4 visia,2006,benzin,duz,1386 cc,88 hp,48.000 km,belirtilmemis,takasa uygun degil,galeriden,99.750 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-note-1-4-visia/bundan-daha-az-kmlisi-yok-hatasiz-ilk-sahibinden-firsat-araci/18581885
nissan,primera,1.6 visia,2005,lpg & benzin,duz,1596 cc,109 hp,315.000 km,belirtilmemis,takasa uygun degil,sahibinden,71.500 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-primera-1-6-visia/sahibinden-nissan-primera-1-6-visia-2005-model/18627407
nissan,almera,1.5 luxury,2001,lpg & benzin,duz,1497 cc,90 hp,305.000 km,"2 degisen, 5 boyali",takasa uygun degil,sahibinden,55.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-almera-1-5-luxury/sahibinden-nissan-almera-1-5-luxury-2001-model/18626751
nissan,primera,1.6 slx,1997,lpg & benzin,duz,1597 cc,100 hp,258.000 km,belirtilmemis,takasa uygun,sahibinden,54.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-primera-1-6-slx/sahibinden-nissan-primera-1-6-slx-1997-model/17816807
nissan,micra,1.2 match,2017,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,21.000 km,belirtilmemis,takasa uygun,galeriden,213.500 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-match/2017-nissan-micra-1-2-match-otomatik-inci-siyah-21-o00km-hatasiz/18626822
nissan,note,1.6 tekna,2007,lpg & benzin,otomatik,1598 cc,110 hp,130.000 km,belirtilmemis,takasa uygun degil,sahibinden,130.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-note-1-6-tekna/sahibinden-nissan-note-1-6-tekna-2007-model/18626557
nissan,primera,2.0 se,1998,lpg & benzin,duz,1998 cc,130 hp,283.000 km,belirtilmemis,takasa uygun degil,sahibinden,65.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-primera-2-0-se/sahibinden-nissan-primera-2-0-se-1998-model/18624605
nissan,micra,1.2 passion,2006,benzin,duz,1240 cc,80 hp,226.000 km,4 boyali,takasa uygun,sahibinden,77.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-micra-1-2-passion/sahibinden-nissan-micra-1-2-passion-2006-model/18624535
nissan,almera,1.5 tekna,2006,lpg & benzin,duz,1498 cc,98 hp,238.000 km,tamami orjinal,takasa uygun degil,galeriden,79.500 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-almera-1-5-tekna/safaklar-otomotivden-2006-model-almera-1-5-tekna-masrafsiz-sirali-lpgli-isli-pazarlik-var/18625964
nissan,primera,2.0 se,1997,lpg & benzin,otomatik,1801 - 2000 cm3,126 - 150 hp,110.000 km,2 boyali,takasa uygun degil,sahibinden,88.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-primera-2-0-se/110-bin-km-otomatik-primera-2-0-se/18625022
nissan,micra,1.2 street,2015,benzin,duz,1198 cc,80 hp,77.000 km,1 boyali,takasa uygun degil,sahibinden,133.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-micra-1-2-street/sahibinden-nissan-micra-1-2-street-2015-model/18623554
nissan,primera,1.6 special edition,1999,lpg & benzin,duz,1597 cc,100 hp,278.000 km,belirtilmemis,takasa uygun degil,sahibinden,65.500 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-primera-1-6-special-edition/sahibinden-nissan-primera-1-6-special-edition-1999-model/18621302
nissan,micra,1.5 dci visia,2011,dizel,duz,,,164.000 km,tamami orjinal,takasa uygun degil,sahibinden,180.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-micra-1-5-dci-visia/sahibinden-nissan-micra-1-5-dci-visia-2011-model/18622597
nissan,micra,1.2 street,2015,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,38.413 km,belirtilmemis,takasa uygun degil,yetkili bayiden,169.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-street/2015-nissan-micra-1-2-street-cvt-otomatik/18625657
nissan,micra,1.2 match,2015,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,40.000 km,belirtilmemis,takasa uygun,galeriden,182.500 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-match/ck-otomotiv-2015-otomatik-sedefli-beyaz-bej-dusuk-km-hatasiz/18625029
nissan,micra,1.3 gx,1997,benzin,yari otomatik,1201 - 1400 cm3,51 - 75 hp,216.000 km,belirtilmemis,takasa uygun,galeriden,57.900 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-3-gx/liva-motors-nissan-micra-1-3-otomatik-yeni-baslayanlar-icin/18624713
